,name,sal,team
175,Patrick Beverley,788872,HOU
176,Isaiah Canaan,570515,HOU
177,Robert Covington,490180,HOU
178,Troy Daniels,158587,HOU
179,Roy Hibbert,14283844,IND
180,David West,12000000,IND
181,George Hill,8000000,IND
182,Andrew Bynum,7000000,IND
183,Ian Mahinmi,4000000,IND
184,Paul George,3282003,IND
185,Lavoy Allen,3120000,IND
186,Chris Copeland,3000000,IND
187,Rasual Butler,1399507,IND
188,Solomon Hill,1246680,IND
189,Orlando Johnson,788872,IND
190,Chris Paul,18668431,LAC
191,Blake Griffin,16402500,LAC
192,DeAndre Jordan,10986550,LAC
193,JJ Redick,6500000,LAC
194,Jamal Crawford,5225000,LAC
195,Jared Dudley,4250000,LAC
196,Matt Barnes,3250000,LAC
197,Darren Collison,1900000,LAC
198,Antawn Jamison,1399507,LAC
199,Willie Green,1399507,LAC
200,Ryan Hollins,1186459,LAC
201,Reggie Bullock,1149000,LAC
202,Darius Morris,944923,LAC
203,Stephen Jackson,238739,LAC
204,Kobe Bryant,30453000,LAL
205,Pau Gasol,19285850,LAL
206,Metta World Peace,9317280,LAL
207,Steve Nash,9300500,LAL
208,Steve Blake,4000000,LAL
209,Jordan Hill,3500000,LAL
210,Chris Kaman,3183000,LAL
211,Jodie Meeks,1550000,LAL
212,MarShon Brooks,1276560,LAL
213,Jordan Farmar,1106942,LAL
214,Xavier Henry,916099,LAL
215,Wesley Johnson,916099,LAL
216,Robert Sacre,788873,LAL
217,Kent Bazemore,762195,LAL
218,Kendall Marshall,547570,LAL
219,Ryan Kelly,490180,LAL
220,Manny Harris,104034,LAL
221,Elias Harris,100000,LAL
222,Zach Randolph,17800000,MEM
223,Marc Gasol,14860523,MEM
224,Mike Conley,7900000,MEM
225,Tayshaun Prince,7235955,MEM
226,Courtney Lee,5225000,MEM
227,Tony Allen,5000000,MEM
228,Ed Davis,3153860,MEM
229,Jerryd Bayless,3135000,MEM
230,Kosta Koufos,3000000,MEM
231,Quincy Pondexter,2225478,MEM
232,Darius Morris,944923,MEM
233,Jon Leuer,900000,MEM
234,Jamaal Franklin,535000,MEM
235,James Johnson,507409,MEM
236,Nick Calathes,490180,MEM
237,Seth Curry,66318,MEM
238,Chris Bosh,19067500,MIA
239,LeBron James,19067500,MIA
240,Dwyane Wade,18536000,MIA
241,Mike Miller,7599507,MIA
242,Chris Andersen,6217507,MIA
243,Udonis Haslem,4340000,MIA
244,Mario Chalmers,4000000,MIA
245,Joel Anthony,3800000,MIA
246,Shane Battier,3270000,MIA
247,Ray Allen,3229050,MIA
248,Toney Douglas,1600000,MIA
249,James Jones,1500000,MIA
250,Rashard Lewis,1399507,MIA
251,Norris Cole,1191240,MIA
252,Greg Oden,1027424,MIA
253,Justin Hamilton,126870,MIA
254,DeAndre Liggins,88429,MIA
255,Caron Butler,8386992,MIL
256,O.J. Mayo,8000000,MIL
257,Ersan Ilyasova,7900000,MIL
258,Drew Gooden,7091619,MIL
259,Zaza Pachulia,5200000,MIL
260,Luke Ridnour,4320000,MIL
261,Gary Neal,3250000,MIL
262,Brandon Knight,2947800,MIL
263,John Henson,1905360,MIL
264,Giannis Antetokounmpo,1792560,MIL
265,Jeff Adrien,916099,MIL
266,Khris Middleton,788872,MIL
267,Tony Mitchell,490180,MIL
268,Miroslav Raduljica,490180,MIL
269,Kevin Love,14693906,MIN
270,Nikola Pekovic,12100000,MIN
271,Kevin Martin,6500000,MIN
272,Chase Budinger,5000000,MIN
273,JJ Barea,4701000,MIN
274,Luc Mbah a Moute,4588384,MIN
275,Corey Brewer,4500000,MIN
276,Ricky Rubio,4002120,MIN
277,Dante Cunningham,2180000,MIN
278,Shabazz Muhammad,1887120,MIN
279,Gorgui Dieng,1352640,MIN
280,AJ Price,947907,MIN
281,Robbie Hummel,490180,MIN
282,Othyus Jeffers,104034,MIN
283,Eric Gordon,14283844,NOP
284,Tyreke Evans,11796247,NOP
285,Jrue Holiday,11000000,NOP
286,Ryan Anderson,8308500,NOP
287,Anthony Davis,5375760,NOP
288,Al-Farouq Aminu,3700000,NOP
289,Austin Rivers,2339040,NOP
290,Anthony Morrow,1027424,NOP
291,Brian Roberts,788872,NOP
292,Darius Miller,788872,NOP
293,Alexis Ajinca,635880,NOP
294,Luke Babbitt,387995,NOP
295,Arinze Onuaku,106776,NOP
296,Melvin Ely,74469,NOP
297,Amare Stoudemire,21700000,NYK
298,Carmelo Anthony,21490000,NYK
299,Tyson Chandler,14100538,NYK
300,Andrea Bargnani,11000000,NYK
301,JR Smith,5565000,NYK
302,Earl Clark,4361518,NYK
303,Raymond Felton,4180000,NYK
304,Iman Shumpert,1797600,NYK
305,Pablo Prigioni,1591350,NYK
306,Kenyon Martin,1399507,NYK
307,Cole Aldrich,884293,NYK
308,Shannon Brown,481562,NYK
309,Kevin Durant,18773176,OKC
310,Russell Westbrook,14693906,OKC
311,Serge Ibaka,12250000,OKC
312,Kendrick Perkins,8477437,OKC
313,Nick Collison,2585668,OKC
314,Jeremy Lamb,2111160,OKC
315,Steven Adams,2090880,OKC
316,Derek Fisher,1399507,OKC
317,Reggie Jackson,1329720,OKC
318,Andre Roberson,1110840,OKC
319,Ryan Gomes,495521,OKC
320,Royal Ivey,74839,OKC
321,Gilbert Arenas,22346536,ORL
322,Jameer Nelson,8600000,ORL
323,Arron Afflalo,7562500,ORL
324,Glen Davis,6750000,ORL
325,Victor Oladipo,4763760,ORL
326,Jason Maxiell,2500000,ORL
327,Tobias Harris,1630800,ORL
328,Andrew Nicholson,1482000,ORL
329,Ronnie Price,1265977,ORL
330,E'Twaun Moore,884293,ORL
331,Doron Lamb,788872,ORL
332,Kyle O'Quinn,788872,ORL
333,Solomon Jones,474583,ORL
334,Dewayne Dedmon,256623,ORL
335,Danny Granger,14379240,PHI
336,Thaddeus Young,8600000,PHI
337,Jason Richardson,6204250,PHI
338,Earl Clark,4361518,PHI
339,Eric Maynor,2016000,PHI
340,Arnett Moultrie,1089240,PHI
341,Darius Morris,944923,PHI
342,James Anderson,916099,PHI
343,Brandon Davies,490180,PHI
344,Daniel Orton,369322,PHI
345,Dewayne Dedmon,256623,PHI
346,James Nunnally,57668,PHI
347,Darius Johnson-Odom,46404,PHI
348,Emeka Okafor,14544687,PHX
349,Goran Dragic,7500000,PHX
350,Michael Beasley,7027424,PHX
351,Channing Frye,6400000,PHX
352,Channing Frye,6400000,PHX
353,Gerald Green,3500000,PHX
354,Alex Len,3492720,PHX
355,Eric Bledsoe,2626473,PHX
356,Markieff Morris,2207040,PHX
357,Miles Plumlee,1121520,PHX
358,Archie Goodwin,1064400,PHX
359,Leandro Barbosa,650359,PHX
360,Dionte Christmas,490180,PHX
361,Shavlik Randolph,306036,PHX
362,Brandon Roy,17779458,POR
363,LaMarcus Aldridge,14100000,POR
364,Nicolas Batum,10920250,POR
365,Wesley Matthews,6875480,POR
366,Robin Lopez,5119761,POR
367,Thomas Robinson,3526440,POR
368,Damian Lillard,3202920,POR
369,Joel Freeland,3000000,POR
370,CJ McCollum,2316720,POR
371,Meyers Leonard,2222160,POR
372,Victor Claver,1311240,POR
373,Allen Crabbe,825000,POR
374,Will Barton,788872,POR
375,Rudy Gay,17888932,SAC
376,Carl Landry,6750000,SAC
377,Jason Thompson,5643750,SAC
378,Derrick Williams,5293080,SAC
379,Jason Terry,5225000,SAC
380,DeMarcus Cousins,4916973,SAC
381,Luc Mbah a Moute,4588384,SAC
382,Patrick Patterson,3105301,SAC
383,Ben McLemore,2895960,SAC
384,Jimmer Fredette,2813399,SAC
385,Aaron Gray,2612500,SAC
386,Reggie Evans,1695636,SAC
387,Jared Cunningham,1301208,SAC
388,Orlando Johnson,788872,SAC
389,Quincy Acy,788872,SAC
390,Ray McCallum,524616,SAC
391,Tony Parker,12500000,SAS
392,Tim Duncan,10361446,SAS
393,Tiago Splitter,10000000,SAS
394,Manu Ginobili,7000000,SAS
395,Boris Diaw,4702500,SAS
396,Matt Bonner,3945000,SAS
397,Danny Green,3762500,SAS
398,Marco Belinelli,2750000,SAS
399,Kawhi Leonard,1991760,SAS
400,Jeff Ayres,1750000,SAS
401,Nando De Colo,1463000,SAS
402,Cory Joseph,1182600,SAS
403,Austin Daye,947907,SAS
404,Aron Baynes,788872,SAS
405,Shannon Brown,481562,SAS
406,Damion James,107776,SAS
407,Othyus Jeffers,104034,SAS
408,DeMar DeRozan,9500000,TOR
409,John Salmons,7580000,TOR
410,Amir Johnson,6500000,TOR
411,Kyle Lowry,6210000,TOR
412,Chuck Hayes,5722500,TOR
413,Landry Fields,5225000,TOR
414,Steve Novak,3750001,TOR
415,Tyler Hansbrough,3183000,TOR
416,Patrick Patterson,3105301,TOR
417,Terrence Ross,2678640,TOR
418,Aaron Gray,2612500,TOR
419,Nando De Colo,1463000,TOR
420,Austin Daye,947907,TOR
421,Quincy Acy,788872,TOR
422,Dwight Buycks,700000,TOR
423,Richard Jefferson,11046000,UTA
424,Andris Biedrins,9000000,UTA
425,Marvin Williams,7500000,UTA
426,Derrick Favors,6008106,UTA
427,Enes Kanter,4401000,UTA
428,Brandon Rush,4000000,UTA
429,Gordon Hayward,3452183,UTA
430,Trey Burke,2438760,UTA
431,Alec Burks,2323200,UTA
432,Jeremy Evans,1660000,UTA
433,Rudy Gobert,1078800,UTA
434,Diante Garrett,719266,UTA
435,Ian Clark,490180,UTA
436,Nene,13000000,WAS
437,Andray Blatche,9170525,WAS
438,Trevor Ariza,7727280,WAS
439,Marcin Gortat,7727280,WAS
440,John Wall,7459924,WAS
441,Drew Gooden,7091619,WAS
442,Martell Webster,5150000,WAS
443,Andre Miller,5000000,WAS
444,Bradley Beal,4319280,WAS
445,Trevor Booker,2350820,WAS
446,Eric Maynor,2016000,WAS
447,Chris Singleton,1707720,WAS
